# Sector: Converted Sector (archipelago) -- T5 Second Survey (tab-delimited). Lines beginning with # are comments.
#
# COLUMNS: Sector SS Hex Name UWP Bases Remarks Zone PBG Allegiance Stars {Ix} (Ex) [Cx] Nobility W RU
#   SS         Subsector A-P (4x4 grid of 8x10 subsectors)
#   Hex        Column+row (e.g. 0801)
#   UWP        Starport Size Atmo Hydro Pop Gov Law - Tech (eHex: 0-9 A-H J-N P-Z, skips I/O)
#   Bases      N Naval  S Scout  D Depot  W Way  C Corsair  (blank = none)
#   Remarks    Trade classifications (Traveller 5 TCS)
#   Zone       A Amber  R Red  (blank = none)
#   PBG        Population-multiplier, Belts, Gas giants
#   Stars      Spectral + luminosity; companions space-separated (e.g. F2 V M4 V)
#   {Ix}       Importance extension
#   (Ex)       Economic: Resources Labor Infrastructure +-Efficiency
#   [Cx]       Cultural: Homogeneity Acceptance Strangeness Symbols
#   W  Worlds in system    RU  Resource Units (R x L x I x E)
#
Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Converted Sector (archipelago)	A	0801	Anacreon	D739333-7	S	Lo		120	Na	M4 V	{ -3 }	(B20-1)	[2123]		1	-22
Converted Sector (archipelago)	B	1201	Pradesh	E949556-5		Ni Lt		702	Na	F5 IV	{ -3 }	(543-2)	[3274]		1	-120
Converted Sector (archipelago)	C	2301	Dragon End	X2626AA-6		Ni Ri	A	110	Na	M2 V	{ -2 }	(551+3)	[B451]		1	75
Converted Sector (archipelago)	A	0402	G'iri	D262466-4	S	Ni Lt		301	Na	M4 V	{ -3 }	(635-5)	[7144]		1	-450
Converted Sector (archipelago)	B	1002	Hamshiltristia	E679789-7		Pi	A	700	Na	M0 V	{ -2 }	(96A-1)	[7563]		1	-540
Converted Sector (archipelago)	B	1402	Tiercel	BA4A111-B	NS	Oc Lo		400	Na	F5 V	{ 2 }	(500+1)	[138C]		1	5
Converted Sector (archipelago)	C	2202	Hablu	A75779A-8	C	Ga Ag	A	701	Na	M4 V	{ 1 }	(B67+3)	[6869]		1	1386
Converted Sector (archipelago)	A	0703	Golter	C95A122-7	P	Wa Lo		801	Na	F5 V	{ -2 }	(A00-3)	[1157]		1	-30
Converted Sector (archipelago)	B	0903	Trogio	C76AAAA-A		Wa Hi	A	211	Na	F0 V	{ 2 }	(C9A+4)	[AC5E]		1	4320
Converted Sector (archipelago)	C	2403	Sargon	E491666-8		He Ni		211	Na	G2 V	{ -3 }	(756+5)	[6324]		1	1050
